SMILES	pIC50 (SARS-CoV-2 Mpro)	pIC50 (MERS-CoV Mpro)
COC[C@]1(C)C(=O)N(C2=CN=CC3=CC=CC=C23)C(=O)N1C |&1:3|	nan	4.19
C=C(CN1CCC2=C(C=C(Cl)C=C2)C1C(=O)NC1=CN=CC2=CC=CC=C12)C(N)=O	5.29	4.92
CNC(=O)CN1C[C@]2(C[C@H](C)N(C3=CN=CC=C3C3CC3)C2=O)C2=C(C=CC(Cl)=C2)C1=O	nan	4.73
C=C(CN1CCC2=C(C=C(Cl)C=C2)C1C(=O)NC1=CN=CC2=CC=CC=C12)C(=O)OC	6.11	4.9
C=C(CN1CCC2=C(C=C(Cl)C=C2)C1C(=O)NC1=CN=CC2=CC=CC=C12)C(=O)O	5.62	4.81
C=C(CN(C(=O)C1CCOC2=C1C=C(Cl)C=C2)C1=CN=CC2=CC=CC=C12)C(=O)NC1=CC=CC=C1	6.45	4.88
C=C(CN(C(=O)C1CCOC2=C1C=C(Cl)C=C2)C1=CN=CC2=CC=CC=C12)C(N)=O	5.56	4.81
CCN1CC2(C1)C(=O)N(C1=CN=CC3=CC=CC=C13)C(=O)N2C	nan	4.54
CCOC[C@]1(C)C(=O)N(C2=CN=CC3=CC=CC=C23)C(=O)N1C |&1:4|	nan	8.16
CN1C(=O)N(C2=CN=CC3=CC=CC=C23)C(=O)C12CN(CC1=CC=CC=C1)C2	5.4	4.84
CN1C(=O)N(C2=CN=CC3=CC=CC=C23)C(=O)C12CN(S(C)(=O)=O)C2	nan	4.69
CC(=O)N1CC2(C1)C(=O)N(C1=CN=CC3=CC=CC=C13)C(=O)N2C	nan	4.8
O=C1N[C@]2(C[C@@H](C3=C(Cl)C=CC=C3)C2)C(=O)N1C1=CN=CC2=CC=CC=C12	7.84	6.5
CN1CCN(C2=CC=CC=C2NC(=O)CN2CC3=CC=C(Cl)C=C3[C@H](C(=O)NC3=CN=CC4=CC=CC=C34)C2)CC1 |&1:24|	5.78	4.99
O=C(CN1CC2=CC=C(Cl)C=C2[C@H](C(=O)NC2=CN=CC3=CC=CC=C23)C1)NCC1=CC=CC(Br)=C1 |&1:12|	7.35	4.84
O=C(CN1CC2=CC=C(Cl)C=C2[C@H](C(=O)NC2=CN=CC3=CC=CC=C23)C1)NC1=CC=C(N2CCOCC2=O)C=C1 |&1:12|	7.17	5.05
O=C(CN1CC2=CC=C(Cl)C=C2[C@H](C(=O)NC2=CN=CC3=CC=CC=C23)C1)NCC1=CC=CC=C1 |&1:12|	7.22	5.37
O=C(CN1CC2=CC=C(Cl)C=C2[C@H](C(=O)NC2=CN=CC3=CC=CC=C23)C1)NCC1=CC=C(Br)C=C1 |&1:12|	6.86	5.45
O=C(CN1CC2=CC=C(Cl)C=C2[C@H](C(=O)NC2=CN=CC3=CC=CC=C23)C1)NCC1=CC(Cl)=CC(Cl)=C1 |&1:12|	7.16	5.31
O=C(CN1CC2=CC=C(Cl)C=C2[C@H](C(=O)NC2=CN=CC3=CC=CC=C23)C1)NCC1=CC=C2OCOC2=C1 |&1:12|	6.95	5.4
O=C(CN1CC2=CC=C(Cl)C=C2[C@H](C(=O)NC2=CN=CC3=CC=CC=C23)C1)NCC1=CC=C(F)C=C1 |&1:12|	7.11	5.38
O=C(CN1CC2=CC=C(Cl)C=C2[C@H](C(=O)NC2=CN=CC3=CC=CC=C23)C1)NCC1=CC=CC(Cl)=C1 |&1:12|	7.02	5.52
CC(C)(NC(=O)CN1CC2=CC=C(Cl)C=C2[C@H](C(=O)NC2=CN=CC3=CC=CC=C23)C1)C1=CC=CC=C1 |&1:16|	6.74	5.22
CC(=O)NC1=CC=C(NC(=O)CN2CC3=CC=C(Cl)C=C3[C@H](C(=O)NC3=CN=CC4=CC=CC=C34)C2)C=C1 |&1:21|	7.47	5.27
CC(C)(C)N(CC1=CC=CC=C1)C(=O)CN1CC2=CC=C(Cl)C=C2[C@H](C(=O)NC2=CN=CC3=CC=CC=C23)C1 |&1:24|	6.0	4.99
CC(=O)NC1=CC=C(N(C)C(=O)CN2CC3=CC=C(Cl)C=C3[C@H](C(=O)NC3=CN=CC4=CC=CC=C34)C2)C=C1 |&1:22|	5.83	5.26
O=C(CN1CC2=CC=C(Cl)C=C2[C@H](C(=O)NC2=CN=CC3=CC=CC=C23)C1)NCC1=CC=C(CCO)C=C1 |&1:12|	7.1	5.32
O=C(CN1CC2=CC=C(Cl)C=C2[C@H](C(=O)NC2=CN=CC3=CC=CC=C23)C1)NCC1=CC=CC(F)=C1 |&1:12|	7.14	5.36
O=C(CN1CC2=CC=C(Cl)C=C2[C@H](C(=O)NC2=CN=CC3=CC=CC=C23)C1)NCCC1=CC=CC(Cl)=C1 |&1:12|	7.21	5.22
CN(CCC1=CC=CC=C1)C(=O)CN1CC2=CC=C(Cl)C=C2[C@H](C(=O)NC2=CN=CC3=CC=CC=C23)C1 |&1:22|	6.01	5.04
O=C1C(C2=CC(Cl)=CC=C2)=CN=C(S)N1C1=CN=CC2=CC=CC=C12	6.86	5.04
O=C(NC1=C(Cl)N=CC2=CC=CC=C12)C1CCOC2=C1C=C(Cl)C=C2	nan	4.68
C=CC(=O)NC1=C(N(CC2=CC=CC(Cl)=C2)C(=O)CC2=CN=CC3=CC=CC=C23)C=CC=C1	5.16	5.18
N#CC1=C(NC(=O)C2CCOC3=C2C=C(Cl)C=C3)C2=CC=CC=C2C=N1	nan	4.06
C=CC(=O)NC(C(=O)NC1=CN=CC2=CC=CC=C12)C1=CC(Cl)=C(Cl)C=C1	5.5	5.16
O=C1[C@H]2CCCCN2C(=O)N1C1=CN=CC2=CC=CC=C12	nan	4.26
O=C1[C@@H]2CCCCN2C(=O)N1C1=CN=CC2=CC=CC=C12	4.19	4.29
C[C@H]1CC[C@@H]2C(=O)N(C3=CN=CC4=CC=CC=C34)C(=O)N2C1 |o1:1,4|	4.65	4.57
C[C@H]1CC[C@H]2C(=O)N(C3=CN=CC4=CC=CC=C34)C(=O)N2C1 |o1:1,4|	4.37	4.69
C[C@H]1CC[C@@H]2C(=O)N(C3=CN=CC4=CC=CC=C34)C(=O)N2C1 |o1:1,4|	4.21	4.34
C[C@H]1CC[C@H]2C(=O)N(C3=CN=CC4=CC=CC=C34)C(=O)N2C1 |o1:1,4|	nan	4.76
O=C1N[C@]2(C[C@@H](C3=CC=C(Cl)C=C3)C2)C(=O)N1C1=CN=CC2=CC=CC=C12	7.04	5.11
O=C1N[C@]2(C[C@@H](C3=CC=CC=C3)C2)C(=O)N1C1=CN=CC2=CC=CC=C12	6.87	5.02
CO[C@H]1CCN2C(=O)N(C3=CN=CC4=CC=CC=C34)C(=O)[C@@H]2C1 |&1:2,21|	4.03	4.28
O=C(O)CN1CC2=CC=C(Cl)C=C2[C@H](C(=O)NC2=CN=CC3=CC=CC=C23)C1 |&1:13|	5.01	3.94
O=C(CN1CC2=CC=C(Cl)C=C2[C@H](C(=O)NC2=CN=CC3=CC=CC=C23)C1)NCC1=C(Cl)C=CC=C1Cl |&1:12|	6.75	5.75
COC1=CC(CNC(=O)CN2CC3=CC=C(Cl)C=C3[C@H](C(=O)NC3=CN=CC4=CC=CC=C34)C2)=CC(OC)=C1 |&1:19|	7.16	5.95
O=C(CN1CC2=CC=C(Cl)C=C2[C@H](C(=O)NC2=CN=CC3=CC=CC=C23)C1)NC1=CC=C2SC=NC2=C1 |&1:12|	6.93	5.26
COC1=CC=C(CNC(=O)CN2CC3=CC=C(Cl)C=C3[C@H](C(=O)NC3=CN=CC4=CC=CC=C34)C2)C=C1OC |&1:20|	6.94	5.72
O=C(CN1CC2=CC=C(Cl)C=C2[C@H](C(=O)NC2=CN=CC3=CC=CC=C23)C1)NC1=CC=CC=C1 |&1:12|	7.01	5.65
CC1=CC=C2NC=C(CCNC(=O)CN3CC4=CC=C(Cl)C=C4[C@H](C(=O)NC4=CN=CC5=CC=CC=C45)C3)C2=C1 |&1:23|	7.12	5.64
CCOC1=CC=C(CNC(=O)CN2CC3=CC=C(Cl)C=C3[C@H](C(=O)NC3=CN=CC4=CC=CC=C34)C2)C=C1 |&1:21|	6.9	5.68
O=C(CN1CC2=CC=C(Cl)C=C2[C@H](C(=O)NC2=CN=CC3=CC=CC=C23)C1)NCCC1=CC=C(C(F)F)C=C1 |&1:12|	7.3	5.99
CCOC1=CC=CC=C1CNC(=O)CN1CC2=CC=C(Cl)C=C2[C@H](C(=O)NC2=CN=CC3=CC=CC=C23)C1 |&1:23|	6.94	6.04
O=C(CN1CC2=CC=C(Cl)C=C2[C@H](C(=O)NC2=CN=CC3=CC=CC=C23)C1)NCCC1=CC=C(C(F)(F)F)C=C1 |&1:12|	7.15	5.8
CN1CCN(C2=CC=C(NC(=O)CN3CC4=CC=C(Cl)C=C4[C@H](C(=O)NC4=CN=CC5=CC=CC=C45)C3)C=C2F)CC1 |&1:22|	7.24	5.28
CCC1=CC=C(CNC(=O)CN2CC3=CC=C(Cl)C=C3[C@H](C(=O)NC3=CN=CC4=CC=CC=C34)C2)C=C1 |&1:20|	6.99	6.03
CCOC1=CC=CC(CNC(=O)CN2CC3=CC=C(Cl)C=C3[C@H](C(=O)NC3=CN=CC4=CC=CC=C34)C2)=C1 |&1:22|	7.05	6.04
CC1=CC=C(CNC(=O)CN2CC3=CC=C(Cl)C=C3[C@H](C(=O)NC3=CN=CC4=CC=CC=C34)C2)C=C1 |&1:19|	6.96	5.78
O=C(CN1CC2=CC=C(Cl)C=C2[C@H](C(=O)NC2=CN=CC3=CC=CC=C23)C1)NC(C1=CC=CC=C1)C1=CC=CC=C1 |&1:12|	7.04	6.02
CN1CCN(C2=CC=C(NC(=O)CN3CC4=CC=C(Cl)C=C4[C@H](C(=O)NC4=CN=CC5=CC=CC=C45)C3)C=C2)CC1 |&1:22|	6.69	5.64
COC1=CC=C(CNC(=O)CN2CC3=CC=C(Cl)C=C3[C@H](C(=O)NC3=CN=CC4=CC=CC=C34)C2)C=C1 |&1:20|	7.08	5.87
CCN1CCN(C2=CC=C(NC(=O)CN3CC4=CC=C(Cl)C=C4[C@H](C(=O)NC4=CN=CC5=CC=CC=C45)C3)C=C2)CC1 |&1:23|	7.55	5.67
COC1=CC=CC(CNC(=O)CN2CC3=CC=C(Cl)C=C3[C@H](C(=O)NC3=CN=CC4=CC=CC=C34)C2)=C1 |&1:21|	7.08	5.96
COC1=CC=CC=C1CNC(=O)CN1CC2=CC=C(Cl)C=C2[C@H](C(=O)NC2=CN=CC3=CC=CC=C23)C1 |&1:22|	6.96	5.79
O=C(CN1CC2=CC=C(Cl)C=C2[C@H](C(=O)NC2=CN=CC3=CC=CC=C23)C1)NCCC1=CC=C(Cl)C=C1Cl |&1:12|	6.97	5.69
O=C(CN1CC2=CC=C(Cl)C=C2[C@H](C(=O)NC2=CN=CC3=CC=CC=C23)C1)NCCC1=CC=C(Cl)C(Cl)=C1 |&1:12|	7.15	5.77
CCN1CCN(C2=CC=C(NC(=O)CN3CC4=CC=C(Cl)C=C4[C@H](C(=O)NC4=CN=CC5=CC=CC=C45)C3)C=C2F)CC1 |&1:23|	7.43	5.45
CC1=CC=C(CCNC(=O)CN2CC3=CC=C(Cl)C=C3[C@H](C(=O)NC3=CN=CC4=CC=CC=C34)C2)C=C1 |&1:20|	7.12	5.8
CO[C@H]1CC[C@@H]2C(=O)N(C3=CN=CC4=CC=CC=C34)C(=O)N2C1 |o1:2,5|	4.22	4.23
CO[C@H]1CC[C@@H]2C(=O)N(C3=CN=CC4=CC=CC=C34)C(=O)N2C1 |o1:2,5|	4.43	3.95
CO[C@H]1CC[C@H]2C(=O)N(C3=CN=CC4=CC=CC=C34)C(=O)N2C1 |o1:2,5|	nan	4.29
CO[C@H]1CCN2C(=O)N(C3=CN=CC4=CC=CC=C34)C(=O)[C@H]2C1 |o1:2,21|	nan	4.21
CO[C@H]1CC[C@H]2C(=O)N(C3=CN=CC4=CC=CC=C34)C(=O)N2C1 |o1:2,5|	nan	4.22
CO[C@H]1CCN2C(=O)N(C3=CN=CC4=CC=CC=C34)C(=O)[C@H]2C1 |o1:2,21|	nan	4.25
CN1CCN2C(=O)N(C3=CN=CC4=CC=CC=C34)C(=O)[C@@H]2C1	nan	4.2
O=C1[C@@H]2CN(CC3=CC=CC=C3)CCN2C(=O)N1C1=CN=CC2=CC=CC=C12	5.54	4.3
CS(=O)(=O)N1CCN2C(=O)N(C3=CN=CC4=CC=CC=C34)C(=O)[C@@H]2C1	nan	4.24
C[C@H]1CCN2C(=O)N(C3=CN=CC4=CC=CC=C34)C(=O)[C@@H]2C1 |o1:1,20|	4.12	4.27
C[C@H]1CCN2C(=O)N(C3=CN=CC4=CC=CC=C34)C(=O)[C@@H]2C1 |o1:1,20|	4.1	4.41
CCN1CCN2C(=O)N(C3=CN=CC4=CC=CC=C34)C(=O)[C@@H]2C1	nan	4.28
